年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,在位皇帝丙,在位皇帝丁,年号甲,年号乙
公元前四百七十五年,-475,丙寅,虎,周朝,东周,战国,东周元王姬仁,,,,元王元年,
公元前四百七十四年,-474,丁卯,兔,周朝,东周,战国,东周元王姬仁,,,,元王二年,
公元前四百七十三年,-473,戊辰,龙,周朝,东周,战国,东周元王姬仁,,,,元王三年,
公元前四百七十二年,-472,己巳,蛇,周朝,东周,战国,东周元王姬仁,,,,元王四年,
公元前四百七十一年,-471,庚午,马,周朝,东周,战国,东周元王姬仁,,,,元王五年,
公元前四百七十年,-470,辛未,羊,周朝,东周,战国,东周元王姬仁,,,,元王六年,
公元前四百六十九年,-469,壬申,猴,周朝,东周,战国,东周贞定王姬介,东周元王姬仁,,,元王七年,
公元前四百六十八年,-468,癸酉,鸡,周朝,东周,战国,东周贞定王姬介,,,,贞定王元年,
公元前四百六十七年,-467,甲戌,狗,周朝,东周,战国,东周贞定王姬介,,,,贞定王二年,
公元前四百六十六年,-466,乙亥,猪,周朝,东周,战国,东周贞定王姬介,,,,贞定王三年,
公元前四百六十五年,-465,丙子,鼠,周朝,东周,战国,东周贞定王姬介,,,,贞定王四年,
公元前四百六十四年,-464,丁丑,牛,周朝,东周,战国,东周贞定王姬介,,,,贞定王五年,
公元前四百六十三年,-463,戊寅,虎,周朝,东周,战国,东周贞定王姬介,,,,贞定王六年,
公元前四百六十二年,-462,己卯,兔,周朝,东周,战国,东周贞定王姬介,,,,贞定王七年,
公元前四百六十一年,-461,庚辰,龙,周朝,东周,战国,东周贞定王姬介,,,,贞定王八年,
公元前四百六十年,-460,辛巳,蛇,周朝,东周,战国,东周贞定王姬介,,,,贞定王九年,
公元前四百五十九年,-459,壬午,马,周朝,东周,战国,东周贞定王姬介,,,,贞定王十年,
公元前四百五十八年,-458,癸未,羊,周朝,东周,战国,东周贞定王姬介,,,,贞定王十一年,
公元前四百五十七年,-457,甲申,猴,周朝,东周,战国,东周贞定王姬介,,,,贞定王十二年,
公元前四百五十六年,-456,乙酉,鸡,周朝,东周,战国,东周贞定王姬介,,,,贞定王十三年,
公元前四百五十五年,-455,丙戌,狗,周朝,东周,战国,东周贞定王姬介,,,,贞定王十四年,
公元前四百五十四年,-454,丁亥,猪,周朝,东周,战国,东周贞定王姬介,,,,贞定王十五年,
公元前四百五十三年,-453,戊子,鼠,周朝,东周,战国,东周贞定王姬介,,,,贞定王十六年,
公元前四百五十二年,-452,己丑,牛,周朝,东周,战国,东周贞定王姬介,,,,贞定王十七年,
公元前四百五十一年,-451,庚寅,虎,周朝,东周,战国,东周贞定王姬介,,,,贞定王十八年,
公元前四百五十年,-450,辛卯,兔,周朝,东周,战国,东周贞定王姬介,,,,贞定王十九年,
公元前四百四十九年,-449,壬辰,龙,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十年,
公元前四百四十八年,-448,癸巳,蛇,周朝,东周,战国,东周贞定王姬介,,,,贞定王二十一年,
