年份,年份乙,干支,生肖,朝代甲,朝代乙,朝代丙,在位皇帝甲,在位皇帝乙,年号甲,年号乙
公元前一千零四十六年,-1046,乙未,羊,商朝,周朝,西周,殷商纣王子辛,西周武王姬发,纣王三十年,武王元年
公元前一千零四十五年,-1045,丙申,猴,周朝,西周,,西周武王姬发,,武王二年,
公元前一千零四十四年,-1044,丁酉,鸡,周朝,西周,,西周武王姬发,,武王三年,
公元前一千零四十三年,-1043,戊戌,狗,周朝,西周,,西周武王姬发,西周成王姬诵,武王四年,成王元年
公元前一千零四十二年,-1042,己亥,猪,周朝,西周,,西周成王姬诵,,成王二年,
公元前一千零四十一年,-1041,庚子,鼠,周朝,西周,,西周成王姬诵,,成王三年,
公元前一千零四十年,-1040,辛丑,牛,周朝,西周,,西周成王姬诵,,成王四年,
公元前一千零三十九年,-1039,壬寅,虎,周朝,西周,,西周成王姬诵,,成王五年,
公元前一千零三十八年,-1038,癸卯,兔,周朝,西周,,西周成王姬诵,,成王六年,
公元前一千零三十七年,-1037,甲辰,龙,周朝,西周,,西周成王姬诵,,成王七年,
公元前一千零三十六年,-1036,乙巳,蛇,周朝,西周,,西周成王姬诵,,成王八年,
公元前一千零三十五年,-1035,丙午,马,周朝,西周,,西周成王姬诵,,成王九年,
公元前一千零三十四年,-1034,丁未,羊,周朝,西周,,西周成王姬诵,,成王十年,
公元前一千零三十三年,-1033,戊申,猴,周朝,西周,,西周成王姬诵,,成王十一年,
公元前一千零三十二年,-1032,己酉,鸡,周朝,西周,,西周成王姬诵,,成王十二年,
公元前一千零三十一年,-1031,庚戌,狗,周朝,西周,,西周成王姬诵,,成王十三年,
公元前一千零三十年,-1030,辛亥,猪,周朝,西周,,西周成王姬诵,,成王十四年,
公元前一千零二十九年,-1029,壬子,鼠,周朝,西周,,西周成王姬诵,,成王十五年,
公元前一千零二十八年,-1028,癸丑,牛,周朝,西周,,西周成王姬诵,,成王十六年,
公元前一千零二十七年,-1027,甲寅,虎,周朝,西周,,西周成王姬诵,,成王十七年,
公元前一千零二十六年,-1026,乙卯,兔,周朝,西周,,西周成王姬诵,,成王十八年,
公元前一千零二十五年,-1025,丙辰,龙,周朝,西周,,西周成王姬诵,,成王十九年,
公元前一千零二十四年,-1024,丁巳,蛇,周朝,西周,,西周成王姬诵,,成王二十年,
公元前一千零二十三年,-1023,戊午,马,周朝,西周,,西周成王姬诵,,成王二十一年,
公元前一千零二十二年,-1022,己未,羊,周朝,西周,,西周成王姬诵,,成王二十二年,
公元前一千零二十一年,-1021,庚申,猴,周朝,西周,,西周康王姬钊,,康王元年,
公元前一千零二十年,-1020,辛酉,鸡,周朝,西周,,西周康王姬钊,,康王二年,
公元前一千零一十九年,-1019,壬戌,狗,周朝,西周,,西周康王姬钊,,康王三年,
公元前一千零一十八年,-1018,癸亥,猪,周朝,西周,,西周康王姬钊,,康王四年,
公元前一千零一十七年,-1017,甲子,鼠,周朝,西周,,西周康王姬钊,,康王五年,
公元前一千零一十六年,-1016,乙丑,牛,周朝,西周,,西周康王姬钊,,康王六年,
公元前一千零一十五年,-1015,丙寅,虎,周朝,西周,,西周康王姬钊,,康王七年,
公元前一千零一十四年,-1014,丁卯,兔,周朝,西周,,西周康王姬钊,,康王八年,
