阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,黄历.1,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,开光,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,解除,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,拆卸,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,修造,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,动土,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,安床,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,纳畜,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,安葬,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,启攒,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,宜,入殓,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,嫁娶,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,开市,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,出火,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,栽种,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,破土,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,动土,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,入宅,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,移徙,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,安香,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,分居,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,掘井,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
一九八六年,一二月,二日,星期二,虎年,十一月初一,丙寅年,己亥月,庚辰日节日全国交通安全日,废除奴隶制国际日,忌,作灶,虎,射手座,庚不经络织机虚张，辰不哭泣必主重丧。,碓磨栖外正西,炉中火,冬季,平地木,斗宿（斗木獬）,白腊金,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446772.5,1407年03月29日,狗 （甲戌）,南,大安,执执位
