阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,破土,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,安葬,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,移柩,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,入殓,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,祭祀,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,捕捉,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,除服,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,成服,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,宜,余事勿取,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,忌,嫁娶,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,忌,入宅,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,忌,开市,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
一九八九年,九月,二日,星期六,蛇年,八月初三,己巳年,壬申月,乙丑日,忌,交易,蛇,处女座,乙不栽植千株不长，丑不冠带主不还乡。,碓磨厕外东南,大林木,秋季,剑锋金,氐宿（氐土貉）,海中金,处暑 第11天 （距下一个节气“白露”，还有5天）,2447777.5,1410年01月30日,羊 （己未）,东,佛灭,执执位
