阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,黄历.1,宜忌.1,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,宜,祭祀,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,宜,沐浴,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,宜,出行,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,宜,冠笄,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,宜,进人口,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,宜,余事勿取,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,忌,嫁娶,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,忌,动土,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,忌,安葬,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
一九八五年,一二月,二日,星期一,牛年,十月廿一,乙丑年,丁亥月,乙亥日,节日全国交通安全日,废除奴隶制国际日,忌,作灶,牛,射手座,乙不栽植千株不长，亥不嫁娶不利新郎。,碓磨床外西南,海中金,冬季,屋上土,张宿（张月鹿）,山头火,小雪 第11天 （距下一个节气“大雪”，还有5天）,2446407.5,1406年03月19日,蛇 （己巳）,西,赤口,建执位
