阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,开市,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,交易,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,立券,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,挂匾,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,开光,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,出行,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,拆卸,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,进人口,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,入宅,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
一九八七年,六月,二日,星期二,兔年,五月初七,丁卯年,乙巳月,壬午日,宜,移柩,兔,双子座,壬不汲水更难提防，午不苫盖屋主更张。,仓库碓外西北,炉中火,夏季,覆灯火,翼宿（翼火蛇）,杨柳木,小满 第13天 （距下一个节气“芒种”，还有4天）,2446954.5,1407年10月04日,鼠 （丙子）,北,大安,除执位
