阳历日期,月份,日,周日,生肖年,农历月日,干支年,干支月,干支日,宜忌,黄历,黄历.1,生肖,星座,彭祖百忌,胎神占方,年五行,季节,月五行,星宿,日五行,节气,儒略日,回历,冲,煞,六曜,十二神
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,宜,祭祀,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,宜,斋醮,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,宜,纳财,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,宜,捕捉,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,宜,畋猎,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,忌,嫁娶,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,忌,开市,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,忌,入宅,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,忌,安床,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,忌,破土,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
一九九零年,二月,二日,星期五,马年,正月初七,己巳年,丁丑月,戊戌日,节日世界湿地日,忌,安葬,马（旧算法：蛇）,水瓶座,戊不受田田主不祥，戌不吃犬作怪上床。,房床栖房内南,大林木,冬季,涧下水,毕宿（毕月乌）,平地木,大寒 第14天 （距下一个节气“立春”，还有2天）,2447930.5,1410年07月06日,龙 （壬辰）,北,先胜,收执位
